users in this chat 
✌ښُــلــيــڍݥ₱₷₲™ۺِڹاڂٺے؟✌ [157059515] = 2243
ツparsa™(a.r.a©)ツ_₱₷₲™ [162108576] = 1066
@IDeactive [174747020] = 518
امیر_ح [123755887] = 394
👑κ_β👑ریپور_تم_₱₷₲_♚мαятα♚ [163800253] = 277
₳₹₳₫_₱₷₲™_😘_😘_😘_😘_😘_😘_😘😘😘😘😘__________😘____😘_______😘_😘____________😘_😘____________😘____😘______😘_________😘__😘______________😘__________😘__________😘______😘______😘________😘__😘___________😘__😘😘😘😘_😘_😘😘😘_😘_😘_😘😘😘😘___😘_________________😘_😘_________________😘_😘 [91058772] = 246
Ostad_winner [107786502] = 235
ηɪтʀoɢεη_ßѺ¥ [139002529] = 230
Mr._BN [103214508] = 223
:)@mr.life_🖕ریپورتم🖕:(___₱₷₲™______@aVasT [112274576] = 208
ℳ𝓻𝓱𝓪𝓵𝓲𝔁_𝓐𝓭𝓶𝓲𝓷ℛ𝓸𝔂𝓪𝓵𝓽𝒆𝓪𝓶‌_₱₷₲™ [140529465] = 184
Řěžă_ĂŘ [62283960] = 163
m.M.m_admin_anti_spam [95149435] = 153
Saman [185006628] = 132
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓ًًًًًٓ♋اَرْشٰــــٓـــٓـــٓاٰمَــٓـــٓــٓـٓــٓمْ‍_vαʀαq̲حــَږڣٖٻِہ¿➣🔚_🎭عَُّوڐَُّوبِڸ‌ّاڶه_مِــٌٍَُّّْــن_آدَم‍ٌٍَّْْہ_ڸاشـے_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█_█ [123586577] = 128
▓_ÃŘTĪŅ_™_▓_██ [127638686] = 123
ႩოiR→💀 [150964958] = 118
─═ঊঈ╣ۺۇړۺ_ڱڕم_ۺڻآخٹے☜╠_ঊঈ═─ [157223554] = 100
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA_AAAAA [137825217] = 100
"^[Rr]eza$",_₱₷₲™ [191801814] = 96
Jack [196740258] = 88
‮nibom_<ved/> [147049730] = 86
‮aZeR [184413821] = 71
(⒦-✞)(_🕴S҉o҉r҉B҉l҉a҉c҉k҉🕴_)/(report)_10_emoji_in_the_pv [93365812] = 66
ร๏г๏ยรђ [176355387] = 55
 ✿↝.._ɲάЗરίɳ_..↜✿ [188771148] = 52
M★♥Reza★♥R [95583515] = 51
